2026-04-24T06:19:33.222Z project guard.denied "horst.schwarz@joydev.com must authenticate to perform this action. Run `joy auth`." [horst.schwarz@joydev.com]
2026-04-24T06:21:30.303Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-24T06:23:18.017Z JOY-010A-34 item.created "Rename auth schema fields for scanner hygiene" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-24T06:23:39.062Z JOY-010B-98 item.created "Rename auth fields in model and auth modules" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-24T06:23:39.070Z JOY-010C-A7 item.created "Add project.yaml migration module" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-24T06:23:39.078Z JOY-010D-CB item.created "Implement joy auth update command" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-24T06:23:39.086Z JOY-010E-7E item.created "Add SECURITY.md template for Joy users" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-24T06:23:39.094Z JOY-010F-F4 item.created "Write ADR-035 for auth schema rename" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-24T06:23:39.101Z JOY-0110-63 item.created "Update Auth.md and tutorial for new field names" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-24T06:23:39.110Z JOY-0111-7B item.created "Migrate dogfood repos to new auth schema" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-24T06:23:47.237Z JOY-010A-34 comment.added "Plan: field names verify_key / kdf_nonce / enrollment_verifier / delegation_verifier. Attestation canonical form frozen (existing signatures stay valid). No new generic update verb; joy auth update analog to joy ai update. Schema migration invoked only from joy auth update, not implicit on save. Read path warns on legacy names in v0.12, legacy support removed in v0.13. No schema_version field. Attestation.signature unchanged. Execution order: ADR-035 first, then model rename + migration module, then joy auth update command, then SECURITY.md template, then docs, then dogfood migration." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
