2026-04-20T04:43:57.810Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T05:25:58.971Z JOY-00F7-91 comment.added "Plan: 'joy project set acronym' migrates the local delegation directory atomically as part of the operation. Option (a) from the filing.\n\nChanges:\n1. crates/joy-cli/src/commands/project.rs: in the set_value path for 'acronym', before writing project.yaml, call fs::rename on ~/.local/state/joy/delegations/<OLD> -> <NEW>.\n2. Source missing -> no-op. Target already exists -> error, instruct the user to resolve manually; do not merge.\n3. Rename first, write project.yaml second. If rename errors out, acronym change is not committed.\n4. Unit test for the rename helper (source present, source absent, target collision).\n5. Integration test: project set acronym with pre-existing delegation dir moves it to the new path.\n\nAsymmetry to item IDs (which keep the old prefix per JOY-00F1-AD) is deliberate: item IDs are repo-visible, git-versioned artefacts with external references (commit messages, PRs). Delegation keys are local per-machine state read only by this tool, no external references." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T05:26:03.324Z JOY-00F7-91 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T05:33:08.474Z JOY-00F7-91 comment.added "[x] rename_project_delegations helper in auth::delegation with unit tests (move, missing-source no-op, target-exists error, same-id no-op).\n[x] project_id_of helper in auth::session to compute project_id from an in-memory Project without re-reading yaml.\n[x] set_value call-site in project.rs captures old project_id before mutation, migrates delegation dir atomically after acronym change, before writing project.yaml. Rename failure aborts the acronym change.\n[x] Added CLI note: existing sessions and delegation tokens reference the old acronym and are invalidated; user should re-auth and reissue.\n[x] Three bats integration tests: migrate directory, refuse on target collision, no-op when no delegation dir exists.\n[x] Full cargo test and bats auth.bats suites pass.\n\nNote: Session files are also project_id-scoped (SHA-256 hash) and become stale across an acronym rename. Not migrated here because sessions are 24h ephemerals and re-auth is cheap; user is warned in the CLI output. Delegation keys are SSH-key-class secrets and genuinely needed migration." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T05:33:26.709Z JOY-00F7-91 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T05:45:10.392Z JOY-00F7-91 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-04-20T05:46:51.228Z JOY-00F8-F2 item.updated "Implement joy ai rotate per ADR-033" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T05:47:21.733Z JOY-00F8-F2 comment.added "Plan: Implement 'joy ai rotate <ai-member>' per ADR-033.\n\nSubcommand lives under 'joy ai rotate' next to existing init/update/reset. Requires ManageProject capability (same as token add).\n\nFlow:\n1. Authenticate acting human (passphrase, same pattern as token add).\n2. Verify <ai-member> is registered and has an ai_delegations entry under the acting human. If no entry: bail with 'no delegation to rotate, run joy auth token add first' (this is the (None pub, None priv) bootstrap case).\n3. Generate fresh Ed25519 keypair.\n4. Write new private to ~/.local/state/joy/delegations/<project>/<ai>.key (mode 0600, overwriting any existing file -> covers (Some,None), (Some,Some mismatch), (Some,Some match) uniformly).\n5. Update project.yaml: members[<human>].ai_delegations[<ai>].delegation_key = new_pub; rotated = now. Single write via write_yaml_preserve.\n6. Single commit via auto_git_add.\n7. Print: 'Rotated delegation for <ai>. Prior tokens and sessions are invalidated. Issue a fresh token with joy auth token add <ai>.'\n\nError-message rework in auth.rs:\n- Fall 1 (Some,Some mismatch, Z. 534): 'Delegation state for X is inconsistent (local private key does not match the public key in project.yaml). Run joy ai rotate X to replace the keypair with a fresh one. Prior tokens are invalidated.'\n- Fall 2 (Some,None, Z. 548): 'Local delegation private key for X is missing on this machine. Run joy ai rotate X to generate a fresh pair. Note: this invalidates any prior tokens and any copy of the key on other machines.'\n- Fall 3 (None,Some, Z. 554): no mention of rotate - this is a manual-resolution case. 'Local delegation key for X exists but project.yaml has no entry. Remove the orphan key at <path> and re-run joy auth token add, or investigate why the yaml entry is missing.'\n\nTests:\n- Unit tests for any new helpers.\n- Integration bats tests: rotate succeeds on working delegation (new key on disk, new public in yaml, rotated set, old token fails project_id/delegation_key check); rotate from (Some,None) state; rotate errors when no ai_delegations entry exists.\n\nPreserves ADR-033 invariants:\n- One write per (human,AI) pair at rotation events only - no new project.yaml write surface.\n- Single commit, stable BTreeMap ordering - no merge conflict surface added.\n- delegation_key, created, rotated fields already exist in AiDelegationEntry, no model change needed." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T05:47:26.272Z JOY-00F8-F2 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T05:56:15.818Z JOY-00F8-F2 comment.added "[x] run_ai_rotate in auth.rs: authenticates acting human, verifies delegation entry exists (rejects bootstrap case pointing to joy auth token add), generates fresh Ed25519 keypair, overwrites local private via delegation::save_delegation_key, updates project.yaml (new delegation_key + rotated timestamp) via write_yaml_preserve in a single commit, clears any local stale session for the member.\n[x] joy ai rotate <ai-member> subcommand added to ai.rs alongside init/update/reset. Routes to auth::run_ai_rotate for the logic.\n[x] Error-message rework in auth.rs token_add desync arms: Fall 1 (mismatch) and Fall 2 (Some,None) now point at joy ai rotate with accurate 'invalidates prior tokens' semantics. Fall 3 (None,Some) no longer mentions rotate - it's a manual-resolution state with the orphan path printed for the user to remove.\n[x] Five bats integration tests: rotate on working delegation (new key differs, rotated set, old token fails), rotate recovers Some,None desync, rotate rejects without delegation entry, rejects non-AI member, rejects wrong passphrase.\n[x] cargo fmt, full cargo test and bats integration suites pass (242 unit + 171 integration)." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T06:01:02.798Z JOY-00F8-F2 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T06:35:47.602Z JOY-00F8-F2 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-04-20T17:25:09.409Z JOY-00FA-A5 item.created "Member attestation for project.yaml integrity" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:25:33.709Z JOY-00FB-58 item.created "Extend Member schema with attestation field" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:25:33.718Z JOY-00FC-1D item.created "Sign attestation on joy project member add" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:25:33.729Z JOY-00FD-93 item.created "Founder reverse-attestation on first OTP redemption" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:25:33.737Z JOY-00FE-F6 item.created "Block self-remove, list manage members in error" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:25:33.747Z JOY-00FF-93 item.created "Manage remove inherits attested members" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:25:33.759Z JOY-0100-DA item.created "Verify attestation and passphrase match at joy auth" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:25:33.769Z JOY-0101-78 item.created "Seal migration for existing projects" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:25:50.323Z JOY-0102-AD item.created "Judge: yaml-vs-log consistency commit-hook" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:25:50.333Z JOY-0103-87 item.created "Crypt re-wrap on member passphrase change" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:26:01.698Z JOY-0073 item.updated "Passphrase change with key re-derivation" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:26:01.707Z JOY-0072 comment.added "Scope note: JOY-0072 is extended by the attestation epic JOY-00FA-A5. Specifically, 'joy project member add' now also writes an attestation (JOY-00FC-1D), and 'joy auth --otp' performs founder reverse-attestation on first redemption by a manage member (JOY-00FD-93). Plan comment to follow when implementation starts." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:28:20.704Z JOY-0104-D0 item.created "Integration tests for attestation flow (TDD contract)" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:29:45.638Z JOY-0104-D0 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:29:45.655Z JOY-0104-D0 comment.added "Plan: Write tests/integration/attestation.bats upfront covering all 8 scenarios. Tests initially fail since the feature doesn't exist yet - they serve as the TDD contract for the subsequent child items. Each child item implements against them until all 8 are green.\n\nTest scenarios (mapped 1:1 to the 8-point attestation design):\n1. joy init creates founder without attestation\n2. joy project member add creates OTP + attestation signed by founder\n3. joy auth --otp sets passphrase and silently reverse-attests founder\n4. Subsequent joy project member add works without further reverse-attestation\n5. joy project member rm <self> blocked with manage-list error\n6. Manage removing another member inherits the removed member's attestations\n7. Manually injected member without attestation fails joy auth with clear error\n8. Tampered attestation signature fails joy auth" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:31:59.195Z JOY-0104-D0 comment.added "[x] Wrote tests/integration/attestation.bats with 9 test cases covering the 8-point design.\n[x] Baseline run: 7 tests red (as expected), 2 pass for secondary reasons (will pass for correct reasons after implementation lands).\n[x] Tests serve as TDD contract for the remaining child items: implementation completes when all 9 tests are green.\n\nTest layout:\n- Scenario 1: founder-without-attestation invariant (1 test, currently green by default)\n- Scenario 2: member add -> OTP + attestation (2 tests)\n- Scenario 3: OTP redemption -> passphrase + reverse-attestation (1 test)\n- Scenario 4: subsequent adds do not re-attest founder (1 test)\n- Scenario 5: self-remove blocked (1 test)\n- Scenario 6: manage remove inherits attestations (1 test)\n- Scenario 7: manually injected member rejected at auth (1 test)\n- Scenario 8: tampered signature rejected at auth (1 test)" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:32:05.384Z JOY-0104-D0 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:32:26.225Z JOY-00FB-58 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-20T17:32:26.236Z JOY-00FB-58 comment.added "Plan: Extend Member struct in crates/joy-core/src/model/project.rs with optional attestation field. Add Attestation and AttestationSignedFields structs. Provide canonical_signed_fields helper that serializes to a deterministic byte sequence (using BTreeMap ordering and serde_json) for signing/verification. No logic change yet; just schema groundwork so subsequent items can sign and verify." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
