2026-03-21T14:58:50.470Z JOY-001C item.created "AI self-update check at session start" [horst.schwarz@joydev.com]
2026-03-21T14:59:03.832Z JOY-000B comment.added "Plan: Add size to the skill SKILL.md in two places: (1) step 2 of planning -- include size in the numbered list alongside title/type/priority, (2) step 3 -- mention --size in the joy add example. Both in data/ai/skills/joy/SKILL.md (source) and the installed copy will update via joy ai setup." [horst.schwarz@joydev.com]
2026-03-21T15:05:07.357Z JOY-001D item.created "joy ai setup does not configure nested projects" [horst.schwarz@joydev.com]
2026-03-21T15:07:57.100Z JOY-000B item.status_changed "new -> in-progress" [horst.schwarz@joydev.com]
2026-03-21T15:08:18.589Z JOY-000B comment.added "[x] Added size to step 2 (numbered list) and --size to step 3 (joy add call) in data/ai/skills/joy/SKILL.md. The instructions.md source already had correct size guidance." [horst.schwarz@joydev.com]
2026-03-21T15:08:22.378Z JOY-000B item.status_changed "in-progress -> closed" [horst.schwarz@joydev.com]
2026-03-21T15:08:25.692Z JOY-000C item.status_changed "new -> in-progress" [horst.schwarz@joydev.com]
2026-03-21T15:08:31.784Z JOY-000C comment.added "Plan: Fix both source files in data/ai/. (1) instructions.md line 58 already separates data vs conversation language well. (2) skills/joy/SKILL.md line 99 says 'All written artifacts must use the project language' but has no explicit rule about conversation language. Fix: add a clear sentence that conversation language follows the user's language, not the project language. Also update line 61 which says 'titles in English' -- should reference project language instead of hardcoding English." [horst.schwarz@joydev.com]
2026-03-21T15:09:00.736Z JOY-000C comment.added "[x] Fixed data/ai/skills/joy/SKILL.md: added explicit conversation language rule, changed hardcoded 'English' to project language reference. [x] Fixed data/ai/instructions.md: made the separation between artifact language and conversation language much more explicit with bold heading and clear examples." [horst.schwarz@joydev.com]
2026-03-21T15:09:03.426Z JOY-000C item.status_changed "in-progress -> closed" [horst.schwarz@joydev.com]
2026-03-21T15:25:25.572Z JOY-0007 comment.added "Plan: Comprehensive CLI flag ergonomics rework. (1) Rename --size to --effort (-e) everywhere (CLI, data model, YAML field, docs, instructions). (2) Rename --show to --columns (-c) in ls. (3) Fix -s to always mean --status. (4) Fix -a to always mean --all, -A for --assignee. (5) Add new short flags: -b (blocked), -g (group), -m (milestone), -M (mine), -p (priority) in ls. (6) --tree stays long-only to avoid conflict with -t (title). (7) Bump semver for breaking changes." [horst.schwarz@joydev.com]
